Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id,Product Sales Channel 2
prod_01KMCHCCFQE5FHDK00V9D0VNWC,sweatpants,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHP1WYH3NNTV6NWWPXS,
prod_01KMCHCCFQE5FHDK00V9D0VNWC,sweatpants,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHPGKPY84SP001BK7AC,
prod_01KMCHCCFQE5FHDK00V9D0VNWC,sweatpants,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHQV3VWJFKANA8K253G,
prod_01KMCHCCFQE5FHDK00V9D0VNWC,sweatpants,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHQ6RC2GBSKNKT25XQX,
prod_01KMCHCCFQPY82Y4YYZRWBC4N4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHPYQY3486TY9NFRYD0,
prod_01KMCHCCFQPY82Y4YYZRWBC4N4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHP7MFCZ62HJZVY5E20,
prod_01KMCHCCFQPY82Y4YYZRWBC4N4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHPMQFGJ21G8WBGGMVJ,
prod_01KMCHCCFQPY82Y4YYZRWBC4N4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHP7E29AJ2YND46T627,
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHMP8VX2WG3P3D0R9EF,
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHNWMHZ8JZDV0VH3WPW,
